signal_id,system_name,data_product_id,metric_name,metric_value,threshold,status,severity,measured_at,owner,recommended_action
SIG-00225,semantic_metrics_trust_layer,DP-009,semantic_trust_score,100.0,75,healthy,low,2026-05-20T21:21:43.495344+00:00,Data Quality,Monitor.
SIG-00226,semantic_metrics_trust_layer,DP-009,metric_conflicts,2.91,75,healthy,low,2026-05-20T21:21:43.495352+00:00,Data Quality,Monitor.
SIG-00227,semantic_metrics_trust_layer,DP-009,lineage_completeness,77.58,75,watch,medium,2026-05-20T21:21:43.495357+00:00,Data Quality,Monitor.
SIG-00228,semantic_metrics_trust_layer,DP-009,ai_agent_metric_readiness,86.1,75,healthy,low,2026-05-20T21:21:43.495361+00:00,Data Quality,Monitor.
SIG-00229,semantic_metrics_trust_layer,DP-010,semantic_trust_score,100.0,75,healthy,low,2026-05-20T21:21:43.495366+00:00,Data Platform,Monitor.
SIG-00230,semantic_metrics_trust_layer,DP-010,metric_conflicts,19.58,75,healthy,low,2026-05-20T21:21:43.495374+00:00,Data Platform,Monitor.
SIG-00231,semantic_metrics_trust_layer,DP-010,lineage_completeness,91.33,75,healthy,low,2026-05-20T21:21:43.495379+00:00,Data Platform,Monitor.
SIG-00232,semantic_metrics_trust_layer,DP-010,ai_agent_metric_readiness,87.22,75,healthy,low,2026-05-20T21:21:43.495383+00:00,Data Platform,Monitor.
SIG-00233,semantic_metrics_trust_layer,DP-011,semantic_trust_score,77.49,75,watch,medium,2026-05-20T21:21:43.495388+00:00,Supply Chain Analytics,Monitor.
SIG-00234,semantic_metrics_trust_layer,DP-011,metric_conflicts,0.0,75,healthy,low,2026-05-20T21:21:43.495393+00:00,Supply Chain Analytics,Monitor.
SIG-00235,semantic_metrics_trust_layer,DP-011,lineage_completeness,79.14,75,watch,medium,2026-05-20T21:21:43.495398+00:00,Supply Chain Analytics,Monitor.
SIG-00236,semantic_metrics_trust_layer,DP-011,ai_agent_metric_readiness,78.8,75,watch,medium,2026-05-20T21:21:43.495402+00:00,Supply Chain Analytics,Monitor.
SIG-00237,semantic_metrics_trust_layer,DP-012,semantic_trust_score,84.79,75,watch,medium,2026-05-20T21:21:43.495407+00:00,Executive Analytics,Monitor.
SIG-00238,semantic_metrics_trust_layer,DP-012,metric_conflicts,42.23,75,watch,medium,2026-05-20T21:21:43.495416+00:00,Executive Analytics,Monitor.
SIG-00239,semantic_metrics_trust_layer,DP-012,lineage_completeness,83.87,75,watch,medium,2026-05-20T21:21:43.495420+00:00,Executive Analytics,Monitor.
SIG-00240,semantic_metrics_trust_layer,DP-012,ai_agent_metric_readiness,86.22,75,healthy,low,2026-05-20T21:21:43.495425+00:00,Executive Analytics,Monitor.
